id,title,genres,movie_year,rating,rotten_tomatoes_score
108583,Fawlty Towers (1975),Comedy,1980,1,54
32898,Trip to the Moon-A,Action|Adventure|Fantasy|Sci-Fi,1902,7,80
7065,Birth of a Nation-The,Drama|War,1915,6,92
7243,Intolerance: Love's Struggle Throughout the Ages,Drama,1915,4,82
62383,20000 Leagues Under the Sea,Action|Adventure|Sci-Fi,1915,9,92
8511,Immigrant-The,Comedy,1917,4,59
3309,Dog's Life-A,Comedy,1917,3,83
72626,Billy Blazes-Esq.,Comedy|Western,1918,2,63
6987,Cabinet of Dr. Caligari-The (Cabinet des Dr. Caligari.-Das),Crime|Fantasy|Horror,1919,4,63
25737,Golem-The (Golem-wie er in die Welt kam-Der),Fantasy|Horror,1919,8,50
59945,Mark of Zorro-The,Adventure|Romance|Western,1919,8,67
3310,Kid-The,Comedy|Drama,1921,8,57
83096,Haunted House-The,Comedy,1920,9,61
83318,Goat-The,Comedy,1921,8,86
83322,Boat-The,Comedy,1920,4,65
83359,Play House-The,Comedy,1921,6,53
1348,Nosferatu (Nosferatu-eine Symphonie des Grauens),Horror,1922,3,65
4768,Dr. Mabuse: The Gambler (Dr. Mabuse-der Spieler),Crime|Mystery|Thriller,1921,2,69
25744,Haxan: Witchcraft Through the Ages (a.k.a. The Witches),Documentary|Horror,1922,6,83
44587,Nanook of the North,Documentary|Drama,1922,2,77
83361,Paleface-The,Comedy,1922,1,81
83411,Cops,Comedy,1921,4,85
3140,Three Ages,Comedy,1923,6,75
8235,Safety Last!,Action|Comedy|Romance,1923,7,96
8609,Our Hospitality,Comedy,1923,8,83
4405,Last Laugh-The (Letzte Mann-Der),Drama,1924,9,65
7074,Navigator-The,Comedy,1924,2,68
7302,Thief of Bagdad-The,Action|Adventure|Fantasy,1924,6,96
25750,Sherlock Jr.,Comedy|Fantasy|Romance,1923,2,59
25753,Greed,Drama,1923,6,65
3133,Go West,Comedy|Western,1924,10,54
3232,Seven Chances,Comedy,1925,6,84
3629,Gold Rush-The,Adventure|Comedy|Romance,1925,5,90
3742,Battleship Potemkin,Drama|War,1925,1,97
4277,Lost World-The,Adventure|Sci-Fi,1925,5,86
6986,Ben-Hur: A Tale of the Christ,Adventure|Drama|Romance,1924,4,64
25752,Freshman-The,Comedy,1925,8,76
25755,Phantom of the Opera-The,Drama|Horror,1925,1,97
957,Scarlet Letter-The,Drama,1926,8,76
3022,General-The,Comedy|War,1926,9,83
3492,Son of the Sheik-The,Adventure|Comedy|Romance,1926,7,84
4404,Faust,Drama|Fantasy|Horror,1926,1,73
7309,Black Pirate-The,Action|Adventure,1925,4,55
121618,The Great Gatsby,Drama,1926,3,69
1925,Wings,Action|Drama|Romance|War,1927,2,56
2010,Metropolis,Drama|Sci-Fi,1927,9,57
2227,Lodger: A Story of the London Fog-The,Crime|Drama|Thriller,1926,6,67
7914,Berlin: Symphony of a Great City (Berlin: Die Sinfonie der Großstadt),Documentary,1926,4,93
8125,Sunrise: A Song of Two Humans,Drama|Romance,1927,3,71
8275,College,Comedy,1927,7,82
8423,Kid Brother-The,Children|Comedy|Romance,1927,10,100
58649,Napoléon,Drama|War,1926,4,71
2102,Steamboat Willie,Animation|Children|Comedy|Musical,1927,8,76
3306,Circus-The,Comedy,1927,1,73
6985,Passion of Joan of Arc-The (Passion de Jeanne d'Arc-La),Drama,1927,9,64
25764,Cameraman-The,Comedy|Drama|Romance,1927,8,94
25769,Steamboat Bill-Jr.,Comedy|Romance,1927,5,99
1926,Broadway Melody-The,Musical,1928,7,77
2221,Blackmail,Drama|Thriller,1928,8,89
6433,Man with the Movie Camera-The (Chelovek s kino-apparatom),Documentary,1929,3,74
25763,Pandora's Box (Büchse der Pandora-Die),Drama,1929,10,56
25771,Andalusian Dog-An (Chien andalou-Un),Fantasy,1929,8,62
33312,Cocoanuts-The,Comedy|Musical,1928,1,79
59846,Iron Mask-The,Adventure|Drama|Romance,1928,7,60
1927,All Quiet on the Western Front,Action|Drama|War,1930,9,76
2219,Murder!,Mystery|Thriller,1929,5,70
4970,Blue Angel-The (Blaue Engel-Der),Drama,1929,7,95
7706,Animal Crackers,Comedy|Musical,1929,5,90
25774,Golden Age-The (Âge d'Or-L'),Comedy|Drama|Romance,1929,3,89
1260,M,Crime|Film-Noir|Thriller,1931,5,85
1928,Cimarron,Drama|Western,1930,2,77
2215,Rich and Strange,Comedy|Romance,1930,10,62
2644,Dracula,Horror,1930,2,80
2648,Frankenstein,Drama|Horror|Sci-Fi,1931,3,56
3307,City Lights,Comedy|Drama|Romance,1931,6,100
5560,À nous la liberté (Freedom for Us),Comedy|Musical,1931,7,58
5599,Tabu: A Story of the South Seas,Drama|Romance,1931,3,97
7056,Public Enemy-The,Action|Crime|Drama,1931,6,51
8228,Maltese Falcon-The (a.k.a. Dangerous Female),Mystery,1930,8,58
25773,Little Caesar,Crime|Drama,1930,1,84
25777,Monkey Business,Comedy,1930,8,65
32280,The 3 Penny Opera,Comedy|Drama|Musical,1931,2,76
72683,Limit (Limite),Drama,1931,4,61
976,Farewell to Arms-A,Romance|War,1931,8,94
1929,Grand Hotel,Drama|Romance,1931,4,64
2214,Number Seventeen (a.k.a. Number 17),Thriller,1931,6,52
2633,Mummy-The,Horror|Romance,1932,6,65
2904,Rain,Drama,1931,4,63
3739,Trouble in Paradise,Comedy|Romance,1932,8,56
7091,Horse Feathers,Comedy,1931,4,75
7881,White Zombie,Horror,1931,1,63
8044,I Am a Fugitive from a Chain Gang,Crime|Drama|Film-Noir,1931,9,73
8507,Freaks,Crime|Drama|Horror,1931,9,77
25788,Scarface,Crime|Drama,1931,5,63
25792,I Was Born-But... (a.k.a. Children of Tokyo) (Otona no miru ehon - Umarete wa mita keredo),Comedy|Drama,1931,6,55
53038,Red Dust,Drama,1932,5,93
123663,The Passionate Plumber,Comedy,1932,8,63
1256,Duck Soup,Comedy|Musical|War,1933,10,89
2366,King Kong,Action|Adventure|Fantasy|Horror,1933,2,63
3932,Invisible Man-The,Horror|Sci-Fi,1933,7,76
4921,Little Women,Drama|Romance,1932,9,63
7080,42nd Street,Drama|Musical|Romance,1933,2,65
7081,I'm No Angel,Comedy,1933,2,68
8256,Queen Christina,Drama|Romance,1933,10,81
8670,Testament of Dr. Mabuse-The (Das Testament des Dr. Mabuse),Crime|Horror|Mystery|Thriller,1933,5,96
25795,Dinner at Eight,Comedy|Drama|Romance,1933,4,74
25801,She Done Him Wrong,Comedy|Romance,1932,10,82
48301,Private Life of Henry VIII-The,Comedy|Drama,1933,5,52
71102,Three Musketeers-The,Action|Adventure|Thriller,1932,7,78
80748,Alice in Wonderland,Adventure|Children|Fantasy,1932,1,59
905,It Happened One Night,Comedy|Romance,1933,1,86
907,Gay Divorcee-The,Comedy|Musical|Romance,1934,4,72
950,Thin Man-The,Comedy|Crime,1934,1,97
2212,Man Who Knew Too Much-The,Drama|Thriller,1933,5,98
3086,Babes in Toyland,Children|Comedy|Fantasy|Musical,1934,1,95
4278,Triumph of the Will (Triumph des Willens),Documentary,1933,8,97
5097,Bright Eyes,Comedy|Drama,1934,1,60
25805,Atalante-L',Comedy|Drama|Romance,1933,10,73
25807,Black Cat-The,Adventure|Crime|Horror|Thriller,1933,8,65
32160,Twentieth Century,Comedy,1934,1,73
39779,Tarzan and His Mate,Action|Adventure,1933,6,82
70121,'Neath the Arizona Skies,Western,1934,4,88
98458,Baby Take a Bow,Children|Comedy|Drama,1934,3,98
99270,Stand Up and Cheer!,Comedy|Musical,1933,6,83
945,Top Hat,Comedy|Musical|Romance,1935,4,77
965,39 Steps-The,Drama|Mystery|Thriller,1935,4,97
1340,Bride of Frankenstein-The (Bride of Frankenstein),Drama|Horror|Sci-Fi,1934,6,53
1931,Mutiny on the Bounty,Adventure|Drama,1935,9,62
7132,Night at the Opera-A,Comedy|Musical|Romance,1934,8,62
8167,Captain Blood,Action|Adventure|Romance,1935,10,61
8572,Littlest Rebel-The,Children|Drama,1935,1,61
52913,Sylvia Scarlett,Comedy|Drama|Romance,1935,4,64
87383,Curly Top,Children|Musical|Romance,1934,5,91
91286,Little Colonel-The,Children|Comedy|Crime|Drama,1934,3,54
99085,Our Little Girl,Comedy|Drama|Romance,1934,6,67
947,My Man Godfrey,Comedy|Romance,1935,5,91
961,Little Lord Fauntleroy,Drama,1936,7,63
1932,Great Ziegfeld-The,Drama|Musical,1936,4,54
2210,Sabotage,Thriller,1936,5,83
3462,Modern Times,Comedy|Drama|Romance,1936,10,84
4999,Dodsworth,Drama|Romance,1935,7,50
5098,Dimples,Musical,1935,4,85
7050,Follow the Fleet,Comedy|Musical|Romance,1935,7,69
7055,Swing Time,Comedy|Musical|Romance,1935,6,82
7834,After the Thin Man,Comedy|Crime|Mystery|Romance,1936,3,85
25825,Fury,Drama|Film-Noir,1936,3,95
25826,Libeled Lady,Comedy|Romance,1935,4,70
25827,Mr. Deeds Goes to Town,Comedy|Romance,1936,3,68
25828,Petrified Forest-The,Crime|Drama|Romance,1936,8,64
47606,Captain January,Children|Comedy|Musical,1936,1,77
99089,Poor Little Rich Girl,Adventure|Musical|Romance,1936,3,51
99273,Stowaway,Adventure|Musical,1935,6,92
164977,The Gay Desperado,Comedy,1935,8,60
594,Snow White and the Seven Dwarfs,Animation|Children|Drama|Fantasy|Musical,1936,9,59
944,Lost Horizon,Drama,1937,5,88
1066,Shall We Dance,Comedy|Musical|Romance,1937,9,90
1067,Damsel in Distress-A,Comedy|Musical|Romance,1936,3,62
1933,Life of Emile Zola-The,Drama,1937,8,51
3134,Grand Illusion (La grande illusion),Drama|War,1936,7,51
3217,Star Is Born-A,Drama,1937,9,53
3447,Good Earth-The,Drama,1937,3,65
4800,King Solomon's Mines,Action|Adventure|Drama|Romance|Thriller,1936,6,98
5099,Heidi,Children|Drama,1936,7,89
6254,Awful Truth-The,Comedy|Romance,1937,1,72
6515,You Only Live Once,Crime|Film-Noir,1936,9,74
8542,Day at the Races-A,Comedy|Musical,1937,9,58
25839,Nothing Sacred,Comedy|Drama|Romance,1936,4,89
25841,Stage Door,Drama,1937,2,61
25842,Topper,Comedy|Fantasy|Romance,1936,10,63
32349,Stella Dallas,Drama,1936,9,99
36553,In Old Chicago,Action|Drama|Musical|War,1936,8,79
60343,Wee Willie Winkie,Adventure,1937,4,60
940,Adventures of Robin Hood-The,Action|Adventure|Romance,1938,5,95
955,Bringing Up Baby,Comedy|Romance,1938,1,78
1099,Christmas Carol-A,Children|Drama|Fantasy,1938,6,60
1934,You Can't Take It with You,Comedy|Romance,1937,5,52
2208,Lady Vanishes-The,Drama|Mystery|Thriller,1938,9,81
7078,Jezebel,Drama,1937,9,96
7086,Pygmalion,Comedy|Drama,1938,2,59
7222,Reefer Madness (a.k.a. Tell Your Children),Comedy|Drama,1937,3,72
8600,Angels with Dirty Faces,Crime|Drama|Film-Noir|Thriller,1937,4,58
25850,Holiday,Comedy|Drama|Romance,1938,10,71
34002,Room Service,Comedy,1938,6,90
98441,Rebecca of Sunnybrook Farm,Children|Comedy|Drama|Musical,1937,9,61
98611,Just Around the Corner,Comedy|Musical,1937,2,80
98803,Little Miss Broadway,Drama|Musical,1938,2,72
917,Little Princess-The,Children|Drama,1938,10,52
919,Wizard of Oz-The,Adventure|Children|Fantasy|Musical,1938,10,92
920,Gone with the Wind,Drama|Romance|War,1938,7,51
927,Women-The,Comedy,1939,7,93
